KOD_LATKY;KOD_SOLI
6118;1228
6131;9674
6144;605
6147;2552
6157;90
6157;2040
6157;2041
6160;2090
6178;880
6184;9679
6184;15671
6196;308
6230;805
6238;121
6238;14051
6242;301
6247;1610
6253;1900
6260;1002
6261;2415
6262;445
6265;596
6277;4681
6278;633
6284;2138
6301;1045
6303;505
6327;1355
6338;603
6338;14045
6338;14205
6341;1727
6345;11769
6351;2819
6353;2149
6355;3444
6355;15249
6370;2639
6370;12409
6373;885
6376;12024
6377;2815
6381;11634
6390;13245
6392;2393
6402;1895
6402;15992
6404;1024
6407;2385
6413;1947
6442;2128
6443;1192
6447;11375
6447;13977
6452;21871
6463;222
6464;1443
6470;2148
6501;1797
6527;524
6528;2195
6528;15733
6528;21661
6530;1731
6530;1932
6540;775
6540;776
6550;1922
6550;13216
6560;1480
6560;13517
6577;3820
6598;12915
6609;1477
6618;11644
6648;2878
6649;3384
6653;1042
6661;478
6682;3333
6691;704
6691;12750
6706;2141
6718;11663
6746;2056
6751;2261
6753;1518
6766;997
6812;9671
6816;1230
6825;2594
6830;1586
6831;1796
6836;3721
6878;1951
6880;330
6887;2050
6891;21648
6906;11570
6908;2038
6908;9835
6939;853
6939;2367
6941;2157
6946;3133
6964;518
6978;2240
6979;2194
6987;2036
6988;1855
6990;2061
6990;2062
7022;3486
7066;1173
7072;12068
7096;9766
7100;2680
7104;9701
7115;2084
7125;2296
7125;2297
7162;1985
7176;2719
7176;21502
7179;16205
7182;977
7185;10331
7195;9705
7206;11633
7249;5055
7254;2478
7272;2307
7276;2000
7276;11727
7291;1747
7291;2426
7296;9569
7303;2476
7326;14438
7326;14629
7326;16461
7357;5628
7363;1986
7369;12453
7369;13218
7369;15718
7370;11503
7371;9741
7377;2637
7394;11478
7394;11479
7398;1152
7402;12704
7404;11638
7429;2876
7435;525
7445;662
7445;9657
7445;16952
7467;2877
7468;11742
7488;2438
7491;2186
7495;4283
7514;28
7525;11485
7547;9963
7549;4438
7550;4738
7599;4684
7608;9953
7608;9954
7622;9834
7653;4670
7655;2100
7690;11594
7702;4634
7702;12904
7702;12934
7705;2555
7705;4871
7713;2736
7721;11612
7775;3813
7806;2871
7813;4743
7822;4846
7828;9699
7883;1861
7911;4978
7913;12673
7917;14770
7933;2503
7933;5678
7933;5679
7935;1166
7935;1350
7935;2567
7935;2568
7935;2569
7935;2570
7935;4262
7938;3804
7944;11623
7988;15770
8017;10055
8021;10792
8033;2436
8041;9736
8058;11488
8065;12782
8068;19569
8078;11425
8097;16669
8100;4998
8111;11773
8151;12749
8156;4765
8170;14253
8175;11928
8175;12675
8175;12676
8179;10008
8180;11431
8183;4767
8186;11654
8201;9695
8207;12109
8217;10628
8217;13215
8221;10082
8221;14827
8224;959
8224;1848
8294;11561
8294;13190
8309;17353
8325;14650
8333;9703
8342;12795
8342;15320
8342;16577
8359;9855
8361;13203
8378;16822
8378;21063
8386;19614
8414;12560
8415;9975
8473;12693
8502;9568
8504;4888
8526;2504
8533;9833
8547;10023
8570;11745
8591;4265
8594;11494
8604;21447
8604;22247
8608;12127
8608;20621
8628;10631
8630;5064
8638;9972
8657;12690
8659;12009
8663;4423
8669;9604
8669;15265
8671;22016
8675;16787
8710;13521
8717;11766
8734;15987
8738;9706
8747;11511
8747;11579
8749;9951
8749;9952
8775;13417
8793;12794
8808;5054
8809;4674
8809;11418
8809;11423
8821;14188
8821;14189
8831;5002
8834;9962
8835;14033
8835;19142
8835;19432
8835;20918
8835;21682
8835;21683
8835;21684
8835;21699
8835;21706
8835;21707
8835;21708
8835;21842
8835;21844
8835;21866
8846;15256
8851;15871
8871;5624
8874;12479
8878;15552
8889;9989
8893;2501
8893;11701
8918;9770
8940;14166
8940;14695
8940;14891
8960;10763
8970;4730
8994;12480
9002;13415
9002;13416
9020;14893
9023;12753
9030;9667
9037;20018
9061;3584
9068;15544
9072;10087
9075;3463
9115;14281
9115;15996
9116;13950
9125;19413
9142;14449
9158;11931
9165;10798
9173;14634
9185;15211
9188;17338
9191;12900
9193;4188
9199;13217
9202;9681
9209;14665
9209;16400
9215;21453
9222;13444
9225;13224
9228;14165
9230;14059
9242;12982
9248;10100
9252;12911
9253;12970
9258;14689
9262;9731
9270;9564
9270;9565
9270;9802
9270;19655
9270;19719
9279;15420
9281;9672
9302;14887
9335;12076
9349;16595
9364;12740
9371;13219
9388;22976
9389;14181
9405;14651
9413;15997
9439;12768
9439;17738
9458;4582
9458;15556
9459;14148
9472;12895
9474;13186
9490;20888
9493;15431
9518;12990
9518;16541
9518;17376
9518;17964
9518;19587
9522;18567
9530;10905
9541;13049
9541;17238
9541;18074
9541;18695
9541;19612
9549;990
9549;5100
9551;1268
9551;1269
9552;555
9556;3165
9556;3166
9556;4980
9556;4983
9556;5220
9557;592
9557;9272
9583;4151
9594;287
9594;4358
9594;9596
9597;238
9597;623
9597;857
9597;1333
9597;4316
9597;4430
9597;4808
9597;12793
9597;12946
9597;12947
9597;12949
9597;13231
9597;13419
9597;13456
9597;13457
9597;13458
9603;4988
9606;10288
9608;9610
9628;15344
9629;20896
9650;14890
9693;9680
9722;9
9722;893
9722;894
9750;16006
9758;81
9758;9759
9793;1915
9793;3795
9793;17254
9793;19657
9793;19658
9793;20599
9794;9985
9819;20117
9837;365
9837;366
9837;614
9837;618
9837;839
9837;855
9837;1175
9837;1323
9837;1940
9837;1941
9837;1950
9837;1994
9837;2305
9837;2380
9837;2457
9837;2978
9837;4323
9837;4847
9837;5097
9837;5106
9837;10058
9837;10243
9837;10281
9837;10282
9837;12700
9837;13195
9837;13211
9837;15549
9837;15681
9837;16684
9837;16824
9837;21673
9848;1872
9848;3780
9848;16463
9848;17621
9848;18164
9848;21077
9862;394
9862;396
9862;397
9862;5382
9862;9854
9886;3725
9886;4786
9886;9887
9886;9889
9890;9891
9890;9892
9925;1051
9925;3648
9934;233
9934;9933
9934;9935
9966;3006
9977;93
9977;9978
9977;51641
9977;51740
9977;51742
9983;4883
9983;4884
9983;4885
9991;9992
9991;14957
10004;10005
10042;243
10042;10043
10042;10044
10042;16301
10046;2954
10051;52
10051;14264
10052;14187
10096;3488
10096;3774
10106;10107
10210;1694
10210;10211
10237;18009
10245;10235
10245;13196
10245;18032
10245;20278
10263;10264
10263;17456
10270;3846
10270;20116
10276;15547
10368;10369
10377;13188
10383;12741
10394;13052
10417;10418
10417;12027
10421;15184
10430;1744
10441;11951
10449;12944
10459;14185
10474;19468
10492;16919
10498;12077
10535;10536
10568;14177
10569;10619
10583;12056
10603;14183
10607;12796
10607;18021
10623;3402
10623;4101
10623;4493
10623;18220
10623;18221
10623;18357
10624;3735
10624;4112
10624;4877
10624;5510
10624;20483
10624;20484
10624;20486
10624;20487
10624;20507
10624;20596
10624;20931
10644;10645
10648;3239
10648;18208
10648;18213
10648;18685
10648;18977
10690;420
10706;12977
10712;15553
10712;18046
10712;18687
10714;15421
10714;15428
10725;12330
10772;15542
10793;10794
10798;10799
10803;20889
10804;10461
10804;12568
10808;12331
10811;10812
10815;18405
10817;16187
10824;15675
10831;12975
10860;5849
10864;14491
10869;16171
10878;14953
10892;14186
10899;15423
10903;14052
10903;19624
10923;16290
10937;14176
10943;14486
10945;3197
10946;14175
10946;16671
10946;16689
10946;17581
10958;16569
10989;800
10989;4711
10989;4827
10989;4828
10989;14718
10990;15548
10997;16887
10997;17249
11005;22350
11009;14852
11015;14178
11031;22250
11036;16196
11047;15701
11047;18707
11067;18343
11071;14658
11071;18356
11072;14862
11076;4333
11091;18033
11100;14830
11101;15541
11104;14180
11134;14672
11151;16190
11164;16917
11191;22574
11200;15335
11207;19105
11211;15439
11217;17631
11226;13518
11226;18077
11226;20250
11230;14058
11248;14061
11248;15923
11248;20305
11251;16441
11265;14690
11268;14190
11273;17352
11277;16704
11278;22013
11280;14844
11325;15311
11326;14066
11401;4778
11426;1052
11426;1053
11448;4484
11448;9930
11449;17592
11468;3103
11468;11473
11498;1723
11510;1071
11510;3279
11510;3772
11510;5544
11541;11542
11554;1379
11554;50070
11554;50077
11554;50163
11554;50271
11554;50335
11554;50336
11554;50337
11554;50338
11554;50339
11554;50340
11554;50359
11554;50449
11554;50499
11554;50501
11554;50507
11554;50648
11554;50805
11554;50860
11554;51283
11554;51303
11554;51361
11554;51524
11554;51717
11554;51718
11554;51725
11554;51924
11758;718
11758;2864
11826;6106
11827;4104
11830;1336
11856;7228
11856;9684
11904;11903
11923;17
11923;50041
11923;50187
11923;50196
11923;50200
11923;50312
11923;50400
11923;50411
11923;50831
11923;50901
11923;51752
11923;51753
11923;51754
11923;52066
11926;21206
11942;440
11942;6441
11942;12980
11942;12984
11984;4392
11988;16672
11988;20258
12018;12019
12096;1701
12096;3035
12158;1376
12158;51002
12158;51094
12181;17785
12181;18975
12213;10335
12213;16442
12213;17434
12255;20323
12257;2004
12272;21267
12275;14626
12279;4029
12286;14167
12294;16117
12303;16587
12314;16808
12324;14865
12360;14174
12366;18165
12371;16263
12378;17692
12378;18351
12378;18500
12383;14843
12389;14327
12488;7872
12499;2003
12499;2867
12499;10333
12499;12798
12504;11966
12540;17233
12542;20749
12542;21429
12572;16891
12689;17855
12728;17684
12742;967
12742;2465
12784;14950
12797;16313
12799;47
12799;389
12799;413
12799;627
12799;628
12799;864
12799;873
12799;1345
12799;1529
12799;1537
12799;1705
12799;1854
12799;2463
12799;2764
12799;2916
12799;3265
12799;3266
12799;3338
12799;3819
12799;9863
12799;9864
12799;10089
12799;12701
12799;12960
12799;12961
12799;12981
12799;13004
12799;13228
12799;15741
12799;16450
12799;17641
12799;21663
12799;21668
12799;21674
12799;51193
12799;51194
12799;51195
12799;51196
12799;51197
12841;13625
12870;12860
12877;1469
12877;12881
12877;12950
12929;6371
13030;667
13030;1293
13030;2856
13030;3026
13030;3561
13030;4326
13030;4331
13030;4766
13030;5042
13030;5043
13030;5080
13030;5096
13030;12844
13030;14028
13030;16007
13030;16008
13081;16885
13084;4864
13088;17225
13095;15449
13096;14490
13132;3565
13133;18242
13163;1928
13163;17108
13163;17187
13163;20210
13182;3376
13182;23470
13194;1337
13202;3067
13210;1030
13212;1348
13234;7307
13247;2460
13694;14952
13699;3681
13702;14628
13709;14671
13709;17689
13709;18352
13709;20271
13724;17243
13730;14450
13735;16261
13739;15270
13768;17256
13768;20644
13774;19600
13786;14765
13786;19596
13788;16285
13788;19445
13788;19571
13790;2523
13790;14884
13790;16464
13790;18225
13790;18800
13790;20715
13800;20973
13805;14833
13813;18067
13813;18408
13920;13886
13945;13943
13945;13946
14033;21870
14033;21872
14070;16951
14085;3380
14109;502
14113;14635
14123;16715
14144;21090
14145;15207
14145;16310
14145;18047
14145;18078
14289;22017
14289;22018
14289;22019
14289;22020
14289;22021
14289;22022
14289;22023
14289;22024
14289;22025
14289;22026
14289;22027
14298;3747
14403;14895
14423;15550
14424;3364
14469;15557
14472;16892
14517;13064
14551;19572
14552;17069
14564;15656
14574;4250
14578;15229
14580;16598
14583;14832
14583;18016
14585;12457
14597;18954
14601;14951
14606;17688
14610;15560
14712;14501
14712;16177
14712;16915
14712;17475
14716;17319
14727;15210
14771;21421
14772;3367
14774;20251
14784;14838
14784;17598
14784;18363
14785;18909
14795;17444
14795;20923
14795;20924
14797;19125
14806;15237
14859;1594
14859;12696
14916;21641
14942;673
14967;5690
14967;5693
14980;5008
14980;16192
14980;16300
14980;18068
14995;16039
15170;20272
15183;2590
15183;2591
15190;4522
15250;320
15250;9870
15250;16797
15250;20707
15276;22410
15293;15209
15296;18522
15296;18950
15306;16599
15360;15793
15361;19289
15365;23250
15382;20071
15397;1043
15467;15468
15467;15469
15491;16916
15495;16445
15502;98
15502;5562
15513;3202
15513;17074
15513;20026
15513;20482
15513;21411
15513;21422
15519;3674
15519;22348
15520;18833
15524;16180
15536;2211
15536;3778
15536;4408
15536;19060
15536;21207
15536;21398
15536;21829
15536;23216
15536;23218
15536;23398
15536;23400
15538;16806
15540;17257
15570;16454
15575;19291
15590;19094
15601;16607
15602;19418
15603;16564
15810;17618
15925;16282
16009;15947
16009;16882
16009;17492
16010;12714
16010;12715
16027;4595
16040;1644
16049;21351
16051;21723
16051;22980
16059;245
16062;20361
16063;22084
16072;18161
16076;16590
16103;22503
16109;4599
16109;16949
16109;20572
16109;20643
16109;20936
16109;22715
16111;16810
16111;19145
16190;16199
16212;23245
16213;18218
16215;20964
16215;23254
16220;16725
16221;18236
16224;21083
16229;17332
16230;21151
16241;20634
16243;19288
16247;4603
16247;16812
16247;18964
16247;19109
16247;19257
16250;17672
16254;20913
16256;3406
16311;3744
16341;23355
16347;16593
16351;17854
16354;16298
16358;18167
16393;10189
16422;20024
16479;2836
16490;17375
16491;21087
16500;20819
16526;17227
16603;17050
16618;13293
16622;18547
16627;18518
16644;20957
16719;19290
16725;17915
16756;17077
16765;18247
16765;22559
16765;22562
16765;22969
16773;22381
16790;4
16790;8684
16790;14691
16800;20469
16831;202
16839;17251
16844;20884
16845;17229
16846;17866
16846;21891
16860;19986
16868;17664
16882;16883
16949;16950
16949;20648
16956;20252
16967;17575
16991;18201
16997;1984
16998;19727
17012;182
17012;17686
17097;18496
17106;20811
17109;19746
17109;20627
17125;18519
17169;19410
17175;18846
17175;22558
17180;3207
17180;21458
17194;3746
17194;18515
17201;17690
17209;19599
17218;20287
17272;17273
17307;2703
17307;18705
17309;17066
17330;15223
17406;15600
17420;37
17420;17468
17464;237
17464;4515
17464;12797
17492;17234
17505;2666
17505;20316
17512;17698
17520;18669
17523;18145
17532;20750
17536;4609
17536;18023
17536;23452
17536;23466
17547;18980
17555;41
17555;1241
17555;17916
17555;20701
17555;21284
17555;23198
17564;2232
17628;2914
17665;12258
17665;16798
17665;17666
17720;1301
17720;1302
17720;17937
17720;19640
17751;21074
17801;18349
17880;20246
17882;18843
17891;20877
17896;20310
17902;21671
17904;18147
17913;18989
17944;19855
17949;19747
17957;19409
17964;23465
17970;21452
17971;3911
17980;18076
17982;21424
18095;269
18095;3411
18095;22170
18095;22249
18096;21454
18137;20935
18210;4868
18210;16428
18272;2792
18272;20760
18310;1254
18441;22748
18462;22010
18469;22058
18476;22401
18480;242
18527;5676
18620;3853
18622;4600
18625;23468
18635;20263
18643;19751
18654;19625
18661;20632
18661;20633
18851;20247
18856;1252
18856;20276
18871;20446
18872;2635
18886;22809
18897;21460
18944;19629
18995;21084
18995;23249
18997;20434
19006;20635
19046;4562
19046;19748
19046;23458
19069;20312
19072;20645
19128;4606
19128;20436
19169;12983
19304;17143
19316;17935
19336;20887
19348;21098
19349;3363
19349;20708
19367;20124
19370;3362
19381;21414
19381;21465
19383;20105
19394;22011
19488;19489
19497;5093
19497;20333
19500;20879
19505;20139
19506;20589
19511;20322
19534;23058
19536;3201
19537;20615
19551;21462
19556;20459
19557;188
19654;14967
19656;16191
19680;21445
19683;22342
19706;21065
19714;20306
19714;20307
19749;20756
19774;22235
19785;20893
19796;21651
19816;3366
19850;19851
19858;17944
19974;19973
20019;17930
20042;21295
20061;22788
20062;224
20113;19947
20118;490
20179;20595
20213;3903
20216;255
20220;2484
20226;3365
20243;21241
20270;13414
20270;20268
20307;4547
20307;4586
20308;20309
20390;22970
20404;22570
20410;186
20423;22236
20463;19711
20497;22745
20498;2479
20498;2508
20525;22563
20565;21459
20573;1267
20608;20609
20678;22
20692;20948
20698;21444
20700;221
20721;82
20748;18019
20773;23443
20785;3883
20795;2482
20811;129
20832;185
20866;3500
20890;3555
20894;3816
20894;4123
20894;4157
20894;4332
20894;4839
20894;5003
20922;21686
20922;21687
20922;21688
20958;22015
20969;216
20989;207
20992;22749
21000;2614
21010;21013
21032;20845
21068;16312
21110;21111
21113;1286
21128;21129
21133;2805
21149;22789
21156;3679
21158;156
21171;4604
21190;3140
21190;20849
21191;21036
21191;21814
21192;4554
21209;18040
21235;21236
21307;21308
21323;3919
21336;22968
21338;3395
21361;21362
21367;2700
21388;21642
21407;4278
21407;21312
21422;22755
21488;21489
21493;21494
21519;21520
21523;21524
21526;4549
21560;21561
21563;22744
21604;21605
21631;4616
21632;2652
21724;3920
21727;21728
21734;22569
21757;21758
21771;2806
21782;1260
21792;2488
21812;21813
21839;3315
21963;274
21981;21982
21992;21993
22086;536
22091;22966
22106;22107
22177;22178
22185;22186
22199;22662
22269;4695
22294;2623
22305;2616
22318;22319
22326;4744
22346;22347
22356;2804
22388;22736
22416;4550
22436;22437
22466;23454
22509;22510
22510;3611
22530;22722
22593;23492
22607;22608
22630;23471
22635;3345
22644;22645
22665;22666
22719;23206
22720;22721
22730;23489
22822;4785
22826;4748
22842;4697
22885;22886
22895;22896
22962;22963
23030;22991
23037;22993
23052;3999
23052;4000
23052;23055
23126;23127
23178;23179
23237;20690
23357;23358
23377;23378
23399;23401
50084;52083
50470;51202
50471;52082
52080;52081
